,length,motif length,backend,time in s,setup in s,discovery in s,memory in MB,extent,lower_bound,motiflet,elbows,dataset,memory,version,extent @k,extent @k-lower_bound
10,440001,2048,SCAMPI (8 GB),273.3816962242,63.691773067,184.460367702,8697.54296875,"[32.2209170673, 32.2209170673, 32.2209170673, 69.5788289085, 101.7407005915, 148.8775510904, 174.407278039, 223.6846587393, 233.1129695646, 356.5894322463]",3.4591799902,"[None, None, [352985, 416197], [415940, 352727, 437055], [351123, 427494, 422615, 417242], [175440, 189688, 344466, 180264, 192703], [417241, 427088, 351124, 424678, 418863, 422618], [418879, 427104, 356872, 425103, 422632, 417665, 354466], [417241, 427088, 351124, 424678, 418863, 422618, 356856, 431963], [422882, 431821, 417504, 427351, 351387, 421641, 419129, 424535, 354308]]",[8],Challenge2009TestSetA_101a,8 GB,SCAMPI (8 GB),18.883575727237147,15.424395737037148
11,440001,4096,SCAMPI (8 GB),317.7964515686,61.820231584,226.499592543,8926.51171875,"[201.6495848566, 201.6495848566, 201.6495848566, 441.6069072572, 693.2626793165, 1159.2029939239, 1770.2936469007, 2360.1221106089, 3057.5240595471, 3599.2474551405]",4.928053901,"[None, None, [353641, 424277], [415807, 352604, 420776], [423095, 421032, 352860, 416064], [420757, 352587, 416213, 423236, 350518], [352199, 419119, 430537, 421207, 415805, 423262], [141344, 346465, 175593, 206502, 178176, 361758, 195763], [181270, 172433, 175351, 205897, 192225, 279561, 274886, 363000], [179986, 346034, 206454, 133833, 176282, 195345, 154094, 188281, 25888]]",[2],Challenge2009TestSetA_101a,8 GB,SCAMPI (8 GB),59.99372846506958,55.06567456406958
12,1799997,512,SCAMPI (2 GB),9.889193058,8.180966443,1.5729185620000001,4587.8828125,"[0.2998961314, 0.2998961314, 0.2998961314, 0.4830394633, 1.0975699423, 1.0975699423, 1.0975699423, 2.0149725741, 2.3152386118, 2.3152386118]",0.0073315315,"[None, None, [1362297, 1208050], [1362297, 1208050, 1090025], [1362297, 1208050, 1090025, 1693717], [1362297, 1208050, 1090025, 1693717, 65714], [1362297, 1208050, 1090025, 1693717, 65714, 1671024], [1362297, 1208050, 1090025, 1693717, 65714, 1671024, 782684], [1362297, 1208050, 1090025, 1693717, 65714, 1671024, 782684, 960101], [1362297, 1208050, 1090025, 1693717, 65714, 1671024, 782684, 960101, 599215]]",[6],Challenge2009Respiration500HZ,2 GB,SCAMPI (2 GB),1.5215908161526213,1.5142592846526213
13,1799997,1024,SCAMPI (2 GB),46.6211545467,15.291073396,23.334753865,4587.8828125,"[2.0563017518, 2.0563017518, 2.0563017518, 4.0710806949, 5.1905830676, 10.4977734245, 10.4977734245, 10.4977734245, 10.6236090927, 10.6236090927]",0.2226311674,"[None, None, [1361909, 51017], [1361909, 51017, 1279094], [1361909, 51017, 1279094, 377201], [1361909, 51017, 1279094, 377201, 1547162], [1361909, 51017, 1279094, 377201, 1547162, 130202], [1361909, 51017, 1279094, 377201, 1547162, 130202, 34215], [1361909, 51017, 1279094, 377201, 1547162, 130202, 34215, 299489], [1361909, 51017, 1279094, 377201, 1547162, 130202, 34215, 299489, 1046993]]",[7],Challenge2009Respiration500HZ,2 GB,SCAMPI (2 GB),3.2593878401779683,3.0367566727779685
14,1799997,2048,SCAMPI (2 GB),39.7909739017,6.996051822,24.469797304,4587.8828125,"[3.2983930468000002, 3.2983930468000002, 3.2983930468000002, 13.6995803898, 26.275035735, 31.8720009041, 51.5267281386, 57.1853019119, 62.6382397469, 73.7100268275]",0.6168885148000001,"[None, None, [1041749, 1531944], [1313180, 532538, 1263837], [1388782, 1478272, 877124, 1416038], [984585, 1086704, 1084465, 818177, 1088938], [1415569, 867904, 1510306, 909252, 1577658, 1103820], [1415569, 867904, 1510306, 909252, 1577658, 1103820, 1687817], [1361134, 1411720, 1096353, 1046177, 1103956, 1335443, 764712, 33426], [1361134, 1411720, 1096353, 1046177, 1103956, 1335443, 764712, 33426, 777219]]","[5, 8]",Challenge2009Respiration500HZ,2 GB,SCAMPI (2 GB),8.58545437513356,7.96856586033356
15,1799997,4096,SCAMPI (2 GB),62.5984597206,7.349728644,47.003704963,4587.8828125,"[47.5951127142, 47.5951127142, 47.5951127142, 120.5750629595, 176.9753755073, 241.4723738682, 337.0760960281, 369.1348531354, 402.3704478806, 546.9800890605]",1.2343796522,"[None, None, [363755, 992678], [537984, 1083060, 1580469], [907543, 1085003, 1082730, 1580165], [1433613, 1082926, 1582629, 1068165, 1580353], [1264150, 1082936, 1087384, 1418370, 14727, 1500176], [1418370, 1087384, 1264150, 410585, 797690, 1082936, 1500176], [1418370, 1087384, 1264150, 410585, 797690, 1082936, 1500176, 1582579], [907711, 1082927, 1068166, 1582636, 1418414, 668556, 1325936, 1110388, 1511180]]",[8],Challenge2009Respiration500HZ,2 GB,SCAMPI (2 GB),23.387605458030542,22.15322580583054
16,1330816,512,SCAMPI (16 GB),282.013389349,75.579591043,172.919547759,12384.82421875,"[1.6772400000000002e-05, 1.6772400000000002e-05, 1.6772400000000002e-05, 0.0001805504, 0.0033154766, 0.0367193799, 0.07046800040000001, 0.11017676600000001, 0.1531279137, 0.21846346690000001]",0.41464590090000003,"[None, None, [356692, 1059820], [100911, 356692, 1059820], [356692, 1059820, 100909, 463391], [356692, 1059820, 100909, 463391, 531621], [90502, 207928, 271811, 503560, 219784, 1145878], [503546, 1145864, 90488, 207914, 271797, 776497, 219770], [512760, 230755, 623340, 460512, 619857, 611713, 626814, 615219], [626805, 623330, 615209, 619847, 611702, 230745, 460502, 512750, 443514]]",[3],stator_winding,16 GB,SCAMPI (16 GB),0.467400756203924,0.052754855303923986
17,1330816,1024,SCAMPI (16 GB),294.5242035389,63.903659718,190.202203937,11655.65234375,"[0.0274897409, 0.0274897409, 0.0274897409, 0.1024989535, 0.1932482604, 0.2172123983, 0.2368409418, 0.3022364629, 0.3483269685, 0.3630988732]",0.5718159828,"[None, None, [89990, 207416], [606094, 609140, 612566], [622910, 619428, 614790, 626385], [619665, 623148, 230564, 615028, 512570], [619668, 623151, 230568, 615030, 512573, 611524], [611368, 626470, 460166, 230412, 622994, 619512, 614874], [255172, 512512, 460261, 230507, 623090, 443273, 619609, 614970], [614955, 230493, 619592, 623075, 512499, 611450, 460245, 255158, 443260]]",[6],stator_winding,16 GB,SCAMPI (16 GB),0.60257686082358,0.030760878023579963
18,1330816,2048,SCAMPI (16 GB),308.3524813652,53.311742492,204.276458687,11584.79296875,"[0.17200605330000002, 0.17200605330000002, 0.17200605330000002, 0.3672990057, 0.4295622062, 0.5547156539, 0.6229321605, 0.6398508371, 0.8463535072, 0.9058817693000001]",0.8598953142,"[None, None, [605948, 608995], [79479, 507735, 213748], [64885, 507747, 213760, 79490], [213637, 557139, 79370, 507625, 263877], [263888, 79378, 213648, 557150, 58167, 507634], [507743, 213757, 79489, 64881, 557259, 58276, 263997], [385260, 64971, 264088, 58363, 213848, 79578, 557348, 507832], [264168, 65053, 213927, 58447, 557429, 507914, 231699, 79658, 576635]]",[7],stator_winding,16 GB,SCAMPI (16 GB),0.9517782143440772,0.09188290014407718
19,1330816,4096,SCAMPI (16 GB),319.87251544,48.199079637,219.75770815,10918.8125,"[0.5279861814, 0.5279861814, 0.5279861814, 0.7977068394, 0.9004855221, 1.0952794189, 1.3648196155, 1.4578827765, 1.6619087575, 2.153873392]",1.4026375635,"[None, None, [77418, 211686], [57605, 213083, 556587], [556583, 213082, 57604, 263320], [213085, 263325, 556586, 57609, 575795], [555745, 212242, 262481, 77973, 574950, 495427], [213044, 263283, 556549, 57567, 78779, 575753, 438862], [575784, 263316, 556582, 213075, 78806, 57602, 438893, 496263], [78763, 213032, 496217, 263267, 575743, 438849, 57556, 6978, 556535]]",[8],stator_winding,16 GB,SCAMPI (16 GB),1.4676080512180356,0.06497048771803571
20,5983000,512,SCAMPI (8 GB),149.2406401634,26.1601578,89.693132574,9308.23828125,"[0.0114649051, 0.0114649051, 0.0114649051, 0.0579207042, 0.0907252424, 0.47997520850000003, 0.6838865813, 1.1711538362, 1.6279378989, 2.1956043177]",0.7024506149,"[None, None, [6703, 5943741], [6772, 5943809, 5889290], [1964419, 5943719, 6682, 5889204], [2009321, 5945596, 8634, 5821153, 3640953], [5945600, 3640958, 8637, 5821157, 2009325, 5145856], [5821186, 8670, 5945632, 2009358, 3640989, 5145889, 5922778], [5945563, 8600, 2009289, 3640920, 5821122, 3599603, 5145818, 5922706], [5945605, 3640963, 8642, 5821162, 2009331, 5145861, 5922747, 3599646, 5948787]]","[4, 6]",MGHSleepElectromyography,8 GB,SCAMPI (8 GB),1.4817571723126566,0.7793065574126565
21,5983000,1024,SCAMPI (8 GB),155.815559864,26.178127421,93.753824411,9338.8203125,"[0.0406492336, 0.0406492336, 0.0406492336, 0.4350988665, 0.5336747202000001, 6.0052409776, 9.4979145791, 12.8489751576, 19.0006027369, 24.3339896712]",1.1240289903,"[None, None, [6687, 5943724], [1964459, 5889244, 5943763], [5943759, 6722, 1964455, 5889240], [2009288, 5945562, 8599, 3640919, 5922705], [2009333, 5945606, 8646, 3640964, 5821160, 5145864], [3640966, 2009334, 5945607, 8648, 5145870, 5948796, 5821165], [5945628, 8668, 2009354, 3640986, 5821174, 5922772, 5145888, 5948807], [5945628, 8668, 2009354, 3640986, 5821174, 5922772, 5145888, 5948807, 1174544]]",[4],MGHSleepElectromyography,8 GB,SCAMPI (8 GB),4.932949388672055,3.808920398372055
22,5983000,2048,SCAMPI (8 GB),141.0005545616,30.568472681,80.309782134,9293.66015625,"[0.6584113075, 0.6584113075, 0.6584113075, 7.1425432956, 22.580978811, 45.8474099475, 64.7872248878, 101.8428076974, 381.6005414287, 590.6865298222]",1.9948234108,"[None, None, [1964405, 5889190], [8618, 5945580, 2009306], [5945565, 8602, 2009291, 5922708], [8605, 5945567, 2009293, 5922705, 3640918], [8606, 5945568, 2009295, 5922705, 3640918, 5145816], [8674, 5945633, 2009359, 5922796, 5145896, 1174539, 3641010], [2009303, 5945577, 8615, 5922712, 3640923, 1174500, 5948746, 5776642], [8696, 5945652, 2009375, 3641003, 1174549, 5191107, 5948827, 5135648, 4442856]]",[7],MGHSleepElectromyography,8 GB,SCAMPI (8 GB),24.30404348708667,22.30922007628667
23,5983000,4096,SCAMPI (8 GB),171.1470072269,27.758553468,104.523605723,9270.08984375,"[1.5377527307, 1.5377527307, 1.5377527307, 67.6671853396, 138.2164152521, 269.2659308958, 497.6586081053, 4211.7810134238, 5129.098913686, 5851.8272546263]",2.4090971415,"[None, None, [1964402, 5889187], [5939493, 5884904, 2426], [5922682, 8582, 2009264, 5145795], [8686, 2009371, 5145902, 3640981, 5922755], [8668, 2009347, 5922783, 5145874, 3640955, 2609341], [2009149, 3640761, 5945423, 8471, 5268011, 1174336, 4433115], [4526318, 74586, 5483236, 1256100, 2902927, 5955857, 5231513, 5819777], [4526318, 74586, 5483236, 1256100, 2902927, 5955857, 5231513, 5819777, 5588234]]",[6],MGHSleepElectromyography,8 GB,SCAMPI (8 GB),76.49723690844199,74.08813976694199
24,1288330,512,SCAMPI (0.25 GB),12.7710852623,4.7734963630000005,6.74336954,16549.9453125,"[0.1109926349, 0.1109926349, 0.1109926349, 0.1543028387, 0.5770056424000001, 0.8575086988, 1.2733070491, 1.5228194734, 2.0089723716, 2.0089723716]",0.2441363087,"[None, None, [865164, 1036404], [1036352, 520950, 865112], [204255, 1181034, 466982, 1251991], [466979, 587356, 1181032, 204253, 1251989], [18922, 916258, 944863, 1131575, 784179, 587453], [916270, 18933, 944876, 587465, 784191, 837772, 578092], [944869, 18928, 916262, 1147954, 463960, 236654, 510585, 698651], [944869, 18928, 916262, 1147954, 463960, 236654, 510585, 698651, 27647]]",[3],BlackLeggedKittiwake,0.25 GB,SCAMPI (0.25 GB),1.417382224948514,1.173245916248514
25,1288330,1024,SCAMPI (0.25 GB),16.6420433521,4.657581262,10.554011408,16210.515625,"[0.5273624798000001, 0.5273624798000001, 0.5273624798000001, 1.1903537084, 2.2884501405, 3.0309656347, 4.714628022, 6.6420224319, 7.7236363169, 7.7236363169]",0.32486561140000003,"[None, None, [688056, 772016], [67850, 1131667, 837851], [473143, 1131666, 67851, 837853], [67811, 837812, 473105, 147167, 1131629], [67811, 837812, 473105, 147167, 1131629, 784232], [67797, 837800, 1131613, 1102924, 1021994, 236686, 784221], [236696, 1131619, 944914, 1022002, 756540, 843060, 879588, 473099], [236696, 1131619, 944914, 1022002, 756540, 843060, 879588, 473099, 67805]]",[5],BlackLeggedKittiwake,0.25 GB,SCAMPI (0.25 GB),2.7791430903967504,2.4542774789967505
26,1288330,2048,SCAMPI (0.25 GB),11.92735672,3.013573349,7.687614992,12703.22265625,"[3.7321010675, 3.7321010675, 3.7321010675, 6.8880805205, 15.1572891081, 21.3358290837, 33.630102056, 66.0494711792, 95.8100050174, 151.9748246908]",0.4464628237,"[None, None, [236679, 944893], [756402, 1021861, 673049], [16158, 672451, 1060158, 1130883], [771255, 659567, 49079, 1178109, 746181], [672548, 1130979, 1060253, 16263, 418382, 236046], [1021504, 672692, 236199, 842543, 640474, 1180659, 1060380], [672567, 1130999, 16274, 236065, 1021380, 837195, 1118487, 880823], [660217, 687940, 771941, 49769, 83018, 746784, 855204, 489824, 233257]]","[3, 6]",BlackLeggedKittiwake,0.25 GB,SCAMPI (0.25 GB),12.327806970049458,11.88134414634946
27,1288330,4096,SCAMPI (0.25 GB),12.6648533344,2.337776205,9.082105316,12703.22265625,"[13.4919056765, 13.4919056765, 13.4919056765, 20.862595275, 53.5296112594, 114.0595023552, 142.905304681, 198.6546982555, 230.6399018541, 275.5547100402]",0.6667377034,"[None, None, [47301, 657790], [685638, 47421, 657908], [47688, 685910, 769873, 658204], [852900, 328922, 457660, 744471, 47393], [852900, 328922, 457660, 744471, 47393, 1176406], [852900, 328922, 457660, 744471, 47393, 1176406, 80625], [950326, 81564, 686459, 853767, 488388, 930803, 48204, 993947], [950326, 81564, 686459, 853767, 488388, 930803, 48204, 993947, 745247]]",[3],BlackLeggedKittiwake,0.25 GB,SCAMPI (0.25 GB),16.59984066309674,15.933102959696738
28,5231008,512,SCAMPI (0.5 GB),9.5865130424,2.798386453,4.378064531,4599.2578125,"[0.0014641571, 0.0014641571, 0.0014641571, 0.0077828904, 0.0144594448, 0.0325735969, 0.0397154393, 0.053992419800000004, 0.059800411500000004, 0.0651676902]",0.1711158099,"[None, None, [832883, 1802945], [832356, 2201633, 1802418], [156871, 1802417, 832355, 2201632], [695985, 4889906, 3428506, 4357006, 4587946], [696027, 4889948, 3428548, 4357048, 4587988, 3326408], [695987, 4889908, 3428508, 4357008, 4587948, 1561991, 3326368], [696032, 4889953, 3428553, 4357053, 4587993, 3326413, 1562036, 2157878], [4587909, 3428469, 4889869, 3326329, 4356969, 4859689, 695948, 2254129, 2477689]]",[4],WindTurbine,0.5 GB,SCAMPI (0.5 GB),0.2552796313848796,0.08416382148487958
29,5231008,1024,SCAMPI (0.5 GB),11.9336578846,2.538569021,6.503428855,4599.2578125,"[0.0051545205, 0.0051545205, 0.0051545205, 0.041534156100000004, 0.08772151360000001, 0.0957116115, 0.1470861403, 0.1664422026, 0.1914527302, 0.2116932547]",0.3894853942,"[None, None, [831835, 1801897], [831852, 1801914, 2201129], [2254090, 3428430, 4356930, 4587870], [3428419, 4356919, 2254079, 695898, 4587859], [3428420, 4356920, 2254080, 695899, 4587860, 3326280], [2009753, 4356768, 3428268, 695747, 1561751, 2253928, 2682668], [4356921, 3428421, 695900, 2254081, 2009906, 4587861, 1561904, 2682821], [2254078, 3428418, 4356918, 4587858, 695897, 3326278, 2157743, 4101758, 2682818]]",[5],WindTurbine,0.5 GB,SCAMPI (0.5 GB),0.46010135263874197,0.07061595843874197
30,5231008,2048,SCAMPI (0.5 GB),14.1451706886,2.980505676,8.100471339,4599.2578125,"[0.1318739939, 0.1318739939, 0.1318739939, 0.1872445116, 0.2472960458, 0.3111371059, 0.4204896582, 0.5128742559, 0.6981609731, 0.8290595607]",0.3911314189,"[None, None, [2253648, 4356488], [4356599, 695578, 2253759], [1561138, 4356155, 695134, 2253315], [695267, 4356288, 2253448, 1561271, 2157113], [4356373, 2253533, 1561356, 695351, 2009358, 2097378], [2253511, 4356351, 695330, 1561334, 2682251, 2009336, 2097356], [3163193, 4356283, 695262, 2253443, 2157108, 2097288, 2682183, 1561266], [2045648, 1561286, 695281, 2253463, 2157127, 4356304, 2097308, 3325663, 3163213]]",[7],WindTurbine,0.5 GB,SCAMPI (0.5 GB),0.9105270785100243,0.5193956596100243
31,5231008,4096,SCAMPI (0.5 GB),17.8118033409,3.604525458,10.836800252,4599.2578125,"[0.37866984870000003, 0.37866984870000003, 0.37866984870000003, 0.5262939285, 0.5451716296, 1.0211143566, 1.7498809512, 1.8647595644000001, 2.0529226743, 2.3007185635]",0.5304283041,"[None, None, [694267, 4355288], [694033, 4355054, 2252214], [2252150, 4354990, 693969, 1559973], [4355431, 694409, 2252591, 1560413, 2681330], [4356352, 695331, 2253512, 2009337, 3325712, 1561335], [4356343, 695323, 3325703, 2253504, 2009329, 1561327, 2682243], [1935098, 907216, 878216, 2038323, 2170947, 2481711, 886842, 3282322], [1935098, 907216, 878216, 2038323, 2170947, 2481711, 886842, 3282322, 1951256]]",[4],WindTurbine,0.5 GB,SCAMPI (0.5 GB),1.516811973680324,0.9863836695803241
32,440001,512,SCAMPI (1 GB),44.9269068241,9.764794506,30.953955561,4561.69921875,"[4e-10, 4e-10, 4e-10, 0.18025940940000001, 0.2846429831, 0.48175502330000003, 0.6180962833, 0.7981133618, 0.9476154215, 0.9795529524000001]",0.9591210143000001,"[None, None, [3257, 46009], [148973, 346305, 347411], [184647, 208924, 261122, 364190], [345563, 182103, 344838, 272162, 184297], [261122, 208924, 184647, 186736, 364190, 263543], [200018, 262890, 177708, 193474, 208618, 181772, 179932], [199975, 241678, 177665, 193431, 208575, 157661, 181729, 179889], [200031, 262903, 177721, 193487, 157717, 181785, 208631, 99261, 179945]]",[2],Challenge2009TestSetA_101a,1 GB,SCAMPI (1 GB),0.9897236747698824,0.03060266046988236
33,440001,1024,SCAMPI (1 GB),45.8325500488,9.738690612,32.259409792,4563.69921875,"[2.6057079368, 2.6057079368, 2.6057079368, 5.9556068911, 9.5800474367, 11.1502696181, 18.985488583, 23.8051680957, 27.5814503378, 34.0627199922]",1.7386848424,"[None, None, [353592, 354430], [421334, 435783, 436629], [411579, 419635, 354821, 417199], [419654, 417219, 411600, 354843, 418034], [419671, 417236, 411615, 352337, 354861, 418051], [419640, 417205, 411586, 354828, 418023, 353991, 358039], [419665, 417230, 411610, 354853, 352331, 418045, 355654, 438343], [419646, 417211, 411591, 354833, 418026, 438325, 353999, 358045, 437481]]",[5],Challenge2009TestSetA_101a,1 GB,SCAMPI (1 GB),5.836327611794938,4.0976427693949375
