,memory,version,dataset,metric,value
64,8 GB,SCAMPI (8 GB),BlackLeggedKittiwake,setup in s,32.514497634
65,2 GB,SCAMPI (2 GB),swtAttack38,setup in s,14.628501684
66,16 GB,SCAMPI (16 GB),MGHSleepElectromyography,setup in s,51.144347554
67,16 GB,SCAMPI (16 GB),solarwind,setup in s,34.582181949
68,0.25 GB,SCAMPI (0.25 GB),Lab_K_060314,setup in s,25.308584397
69,16 GB,SCAMPI (16 GB),swtAttack38,setup in s,113.134122279
70,0.5 GB,SCAMPI (0.5 GB),Lab_FD_061014,setup in s,20.220290691
71,0.25 GB,SCAMPI (0.25 GB),HAR_Ambient_Sensor_Data,setup in s,12.498873913
72,0.25 GB,SCAMPI (0.25 GB),SpainishEnergyDataset,setup in s,4.892551417
73,2 GB,SCAMPI (2 GB),CinC_Challenge,setup in s,7.215264539
74,16 GB,SCAMPI (16 GB),SpainishEnergyDataset,setup in s,5.256330527
75,0.25 GB,SCAMPI (0.25 GB),EOG_one_hour_50_Hz,setup in s,4.748039583
76,16 GB,SCAMPI (16 GB),EOG_one_hour_50_Hz,setup in s,210.49382699
77,0.25 GB,SCAMPI (0.25 GB),Bird12-Week3_2018_1_10,setup in s,17.8832457
78,4 GB,SCAMPI (4 GB),house,setup in s,14.640218194000001
79,4 GB,SCAMPI (4 GB),BlackLeggedKittiwake,setup in s,18.615221841
80,2 GB,SCAMPI (2 GB),Bird12-Week3_2018_1_10,setup in s,21.55154585
81,16 GB,SCAMPI (16 GB),HAR_Ambient_Sensor_Data,setup in s,13.275533103
82,0.5 GB,SCAMPI (0.5 GB),Challenge2009TestSetA_101a,setup in s,5.845372185
83,16 GB,SCAMPI (16 GB),EOG_one_hour_400_Hz,setup in s,66.24622335
84,1 GB,SCAMPI (1 GB),WindTurbine,setup in s,3.933708594
85,16 GB,SCAMPI (16 GB),Challenge2009Respiration500HZ,setup in s,38.858447624
86,0.25 GB,SCAMPI (0.25 GB),EOG_one_hour_400_Hz,setup in s,2.087959674
87,8 GB,SCAMPI (8 GB),Lab_K_060314,setup in s,41.087787737
88,1 GB,SCAMPI (1 GB),HAR_Ambient_Sensor_Data,setup in s,13.492013196
89,8 GB,SCAMPI (8 GB),SpainishEnergyDataset,setup in s,5.550283606
90,0.25 GB,SCAMPI (0.25 GB),swtAttack38,setup in s,2.30862616
91,2 GB,SCAMPI (2 GB),Lab_FD_061014,setup in s,23.432770609
92,1 GB,SCAMPI (1 GB),Lab_K_060314,setup in s,27.183928109
93,8 GB,SCAMPI (8 GB),WindTurbine,setup in s,17.67131764
94,4 GB,SCAMPI (4 GB),swtAttack7,setup in s,32.326772825
95,2 GB,SCAMPI (2 GB),EOG_one_hour_400_Hz,setup in s,9.303177596
96,0.5 GB,SCAMPI (0.5 GB),house,setup in s,9.486703407
97,4 GB,SCAMPI (4 GB),solarwind,setup in s,16.665171049
98,1 GB,SCAMPI (1 GB),SpainishEnergyDataset,setup in s,5.259208524
99,8 GB,SCAMPI (8 GB),HAR_Ambient_Sensor_Data,setup in s,13.010355958
100,4 GB,SCAMPI (4 GB),Challenge2009Respiration500HZ,setup in s,11.097344663
101,0.25 GB,SCAMPI (0.25 GB),house,setup in s,8.907214702
102,4 GB,SCAMPI (4 GB),stator_winding,setup in s,15.239192934
103,1 GB,SCAMPI (1 GB),CinC_Challenge,setup in s,7.225866961
104,4 GB,SCAMPI (4 GB),water,setup in s,13.299647205
105,1 GB,SCAMPI (1 GB),Bird12-Week3_2018_1_10,setup in s,20.049471477
106,8 GB,SCAMPI (8 GB),CinC_Challenge,setup in s,7.209444838
107,0.5 GB,SCAMPI (0.5 GB),EOG_one_hour_400_Hz,setup in s,3.142762897
108,4 GB,SCAMPI (4 GB),swtAttack38,setup in s,29.241278317
109,0.25 GB,SCAMPI (0.25 GB),Challenge2009TestSetA_101a,setup in s,3.928516924
110,0.5 GB,SCAMPI (0.5 GB),swtAttack38,setup in s,4.141322502
111,8 GB,SCAMPI (8 GB),Bird12-Week3_2018_1_10,setup in s,34.879267584
112,4 GB,SCAMPI (4 GB),EOG_one_hour_50_Hz,setup in s,46.965833784
113,4 GB,SCAMPI (4 GB),Challenge2009TestSetA_101a,setup in s,33.082335503
114,1 GB,SCAMPI (1 GB),EOG_one_hour_400_Hz,setup in s,5.398651377
115,2 GB,SCAMPI (2 GB),Lab_K_060314,setup in s,29.191031514
116,0.5 GB,SCAMPI (0.5 GB),SpainishEnergyDataset,setup in s,5.34384586
117,8 GB,SCAMPI (8 GB),Lab_FD_061014,setup in s,36.443316933
118,0.5 GB,SCAMPI (0.5 GB),Bird12-Week3_2018_1_10,setup in s,19.081392424
119,0.5 GB,SCAMPI (0.5 GB),EOG_one_hour_50_Hz,setup in s,7.711786071
120,2 GB,SCAMPI (2 GB),SpainishEnergyDataset,setup in s,5.385944844
121,16 GB,SCAMPI (16 GB),house,setup in s,33.445203851
122,16 GB,SCAMPI (16 GB),BlackLeggedKittiwake,setup in s,66.324985351
123,8 GB,SCAMPI (8 GB),EOG_one_hour_400_Hz,setup in s,36.194027496
124,2 GB,SCAMPI (2 GB),WindTurbine,setup in s,6.101376529
125,1 GB,SCAMPI (1 GB),Lab_FD_061014,setup in s,21.456508177
126,0.25 GB,SCAMPI (0.25 GB),Lab_FD_061014,setup in s,19.440588919
127,4 GB,SCAMPI (4 GB),MGHSleepElectromyography,setup in s,22.250174807
128,0.5 GB,SCAMPI (0.5 GB),HAR_Ambient_Sensor_Data,setup in s,13.845716881
129,16 GB,SCAMPI (16 GB),swtAttack7,setup in s,130.17035632
130,2 GB,SCAMPI (2 GB),HAR_Ambient_Sensor_Data,setup in s,13.373839799
131,0.5 GB,SCAMPI (0.5 GB),Lab_K_060314,setup in s,26.437944371
132,4 GB,SCAMPI (4 GB),Lab_FD_061014,discovery in s,41.623979216
133,1 GB,SCAMPI (1 GB),MGHSleepElectromyography,discovery in s,15.168322632
134,8 GB,SCAMPI (8 GB),Challenge2009TestSetA_101a,discovery in s,184.460367702
135,2 GB,SCAMPI (2 GB),Challenge2009Respiration500HZ,discovery in s,24.469797304
136,16 GB,SCAMPI (16 GB),stator_winding,discovery in s,204.276458687
137,8 GB,SCAMPI (8 GB),MGHSleepElectromyography,discovery in s,80.309782134
138,0.25 GB,SCAMPI (0.25 GB),BlackLeggedKittiwake,discovery in s,7.687614992
139,0.5 GB,SCAMPI (0.5 GB),WindTurbine,discovery in s,8.100471339
140,1 GB,SCAMPI (1 GB),Challenge2009TestSetA_101a,discovery in s,30.101523579
141,2 GB,SCAMPI (2 GB),solarwind,discovery in s,29.553225866000002
142,4 GB,SCAMPI (4 GB),EOG_one_hour_400_Hz,discovery in s,97.413354099
143,2 GB,SCAMPI (2 GB),swtAttack7,discovery in s,50.656367694
144,0.5 GB,SCAMPI (0.5 GB),CinC_Challenge,discovery in s,0.37208844500000005
145,0.5 GB,SCAMPI (0.5 GB),water,discovery in s,9.544909739
146,1 GB,SCAMPI (1 GB),EOG_one_hour_50_Hz,discovery in s,40.217346848
147,0.25 GB,SCAMPI (0.25 GB),swtAttack7,discovery in s,9.305137894
148,8 GB,SCAMPI (8 GB),water,discovery in s,92.999731996
149,1 GB,SCAMPI (1 GB),swtAttack38,discovery in s,31.014685017
150,8 GB,SCAMPI (8 GB),stator_winding,discovery in s,104.873048839
151,0.5 GB,SCAMPI (0.5 GB),stator_winding,discovery in s,9.824534303
152,0.5 GB,SCAMPI (0.5 GB),solarwind,discovery in s,15.318583912
153,16 GB,SCAMPI (16 GB),CinC_Challenge,discovery in s,0.357591257
154,2 GB,SCAMPI (2 GB),house,discovery in s,17.959162684
155,4 GB,SCAMPI (4 GB),Bird12-Week3_2018_1_10,discovery in s,34.080023983
156,2 GB,SCAMPI (2 GB),BlackLeggedKittiwake,discovery in s,36.273164659
157,8 GB,SCAMPI (8 GB),EOG_one_hour_50_Hz,discovery in s,315.416894797
158,8 GB,SCAMPI (8 GB),swtAttack38,discovery in s,219.565051021
159,0.5 GB,SCAMPI (0.5 GB),Challenge2009Respiration500HZ,discovery in s,8.065966082
160,0.5 GB,SCAMPI (0.5 GB),MGHSleepElectromyography,discovery in s,9.679922256
161,1 GB,SCAMPI (1 GB),stator_winding,discovery in s,18.064465804
162,4 GB,SCAMPI (4 GB),CinC_Challenge,discovery in s,0.348381612
163,1 GB,SCAMPI (1 GB),water,discovery in s,16.454427054
164,16 GB,SCAMPI (16 GB),Lab_K_060314,discovery in s,82.580635332
165,4 GB,SCAMPI (4 GB),SpainishEnergyDataset,discovery in s,2.719786089
166,0.25 GB,SCAMPI (0.25 GB),stator_winding,discovery in s,5.234231655
167,1 GB,SCAMPI (1 GB),Challenge2009Respiration500HZ,discovery in s,13.984672525
168,0.25 GB,SCAMPI (0.25 GB),solarwind,discovery in s,12.125198861
169,4 GB,SCAMPI (4 GB),Lab_K_060314,discovery in s,29.292391852
170,16 GB,SCAMPI (16 GB),water,discovery in s,169.7568863
171,1 GB,SCAMPI (1 GB),swtAttack7,discovery in s,29.043663186
172,0.25 GB,SCAMPI (0.25 GB),Challenge2009Respiration500HZ,discovery in s,4.9758656530000005
173,0.25 GB,SCAMPI (0.25 GB),MGHSleepElectromyography,discovery in s,6.615500755
174,2 GB,SCAMPI (2 GB),Challenge2009TestSetA_101a,discovery in s,61.059888787
175,1 GB,SCAMPI (1 GB),solarwind,discovery in s,21.193940328
