,memory,version,dataset,metric,value
333,16 GB,SCAMPI (16 GB),swtAttack38,extent @k,6.922031001
334,0.5 GB,SCAMPI (0.5 GB),Lab_FD_061014,extent @k,49.2053128974
335,0.25 GB,SCAMPI (0.25 GB),HAR_Ambient_Sensor_Data,extent @k,1002.0321938404
336,0.25 GB,SCAMPI (0.25 GB),SpainishEnergyDataset,extent @k,0.0172302644
337,2 GB,SCAMPI (2 GB),CinC_Challenge,extent @k,0.0
338,16 GB,SCAMPI (16 GB),SpainishEnergyDataset,extent @k,0.0172921306
339,0.25 GB,SCAMPI (0.25 GB),EOG_one_hour_50_Hz,extent @k,2584.8092085578
340,16 GB,SCAMPI (16 GB),EOG_one_hour_50_Hz,extent @k,2584.8092085578
341,0.25 GB,SCAMPI (0.25 GB),Bird12-Week3_2018_1_10,extent @k,248.8927249799
342,4 GB,SCAMPI (4 GB),house,extent @k,0.0718584996
343,4 GB,SCAMPI (4 GB),BlackLeggedKittiwake,extent @k,37.8843078608
344,2 GB,SCAMPI (2 GB),Bird12-Week3_2018_1_10,extent @k,229.9744821549
345,16 GB,SCAMPI (16 GB),HAR_Ambient_Sensor_Data,extent @k,1002.0321938404
346,0.5 GB,SCAMPI (0.5 GB),Challenge2009TestSetA_101a,extent @k,543.8014250754
347,16 GB,SCAMPI (16 GB),EOG_one_hour_400_Hz,extent @k,1496.4441620544
348,1 GB,SCAMPI (1 GB),WindTurbine,extent @k,0.8280808533
349,16 GB,SCAMPI (16 GB),Challenge2009Respiration500HZ,extent @k,58.6568372279
350,0.25 GB,SCAMPI (0.25 GB),EOG_one_hour_400_Hz,extent @k,1440.0518783175
351,8 GB,SCAMPI (8 GB),Lab_K_060314,extent @k,130.1874770819
352,1 GB,SCAMPI (1 GB),HAR_Ambient_Sensor_Data,extent @k,1002.0321938404
353,8 GB,SCAMPI (8 GB),SpainishEnergyDataset,extent @k,0.0172921306
354,0.25 GB,SCAMPI (0.25 GB),swtAttack38,extent @k,7.1111747453
355,2 GB,SCAMPI (2 GB),Lab_FD_061014,extent @k,48.8310550653
356,1 GB,SCAMPI (1 GB),Lab_K_060314,extent @k,130.5531494009
357,8 GB,SCAMPI (8 GB),WindTurbine,extent @k,0.8280808533
358,4 GB,SCAMPI (4 GB),swtAttack7,extent @k,15.931652687
359,2 GB,SCAMPI (2 GB),EOG_one_hour_400_Hz,extent @k,1496.4441620544
360,0.5 GB,SCAMPI (0.5 GB),house,extent @k,0.0725484591
361,4 GB,SCAMPI (4 GB),solarwind,extent @k,119.7295624598
362,1 GB,SCAMPI (1 GB),SpainishEnergyDataset,extent @k,0.0172921306
363,8 GB,SCAMPI (8 GB),HAR_Ambient_Sensor_Data,extent @k,1002.0321938404
364,4 GB,SCAMPI (4 GB),Challenge2009Respiration500HZ,extent @k,73.7100268275
365,0.25 GB,SCAMPI (0.25 GB),house,extent @k,0.1633397824
366,4 GB,SCAMPI (4 GB),stator_winding,extent @k,0.9332966304
367,1 GB,SCAMPI (1 GB),CinC_Challenge,extent @k,0.0
368,4 GB,SCAMPI (4 GB),water,extent @k,29.2379969747
369,1 GB,SCAMPI (1 GB),Bird12-Week3_2018_1_10,extent @k,229.9744821549
370,8 GB,SCAMPI (8 GB),CinC_Challenge,extent @k,0.0
371,0.5 GB,SCAMPI (0.5 GB),EOG_one_hour_400_Hz,extent @k,1440.0518783175
372,4 GB,SCAMPI (4 GB),swtAttack38,extent @k,6.922031001
373,0.25 GB,SCAMPI (0.25 GB),Challenge2009TestSetA_101a,extent @k,683.5518194191
374,0.5 GB,SCAMPI (0.5 GB),swtAttack38,extent @k,7.0507604975
375,8 GB,SCAMPI (8 GB),Bird12-Week3_2018_1_10,extent @k,214.535620507
376,4 GB,SCAMPI (4 GB),EOG_one_hour_50_Hz,extent @k,2584.8092085578
377,4 GB,SCAMPI (4 GB),Challenge2009TestSetA_101a,extent @k,383.0224837634
378,1 GB,SCAMPI (1 GB),EOG_one_hour_400_Hz,extent @k,1440.0518783175
379,2 GB,SCAMPI (2 GB),Lab_K_060314,extent @k,130.1832891957
380,0.5 GB,SCAMPI (0.5 GB),SpainishEnergyDataset,extent @k,0.0172921306
381,8 GB,SCAMPI (8 GB),Lab_FD_061014,extent @k,47.8038296616
382,0.5 GB,SCAMPI (0.5 GB),Bird12-Week3_2018_1_10,extent @k,247.9540989476
383,0.5 GB,SCAMPI (0.5 GB),EOG_one_hour_50_Hz,extent @k,2584.8092085578
384,2 GB,SCAMPI (2 GB),SpainishEnergyDataset,extent @k,0.0172921306
385,16 GB,SCAMPI (16 GB),house,extent @k,0.0726716323
386,16 GB,SCAMPI (16 GB),BlackLeggedKittiwake,extent @k,27.396193167
387,8 GB,SCAMPI (8 GB),EOG_one_hour_400_Hz,extent @k,1496.4441620544
388,2 GB,SCAMPI (2 GB),WindTurbine,extent @k,0.8280808533
389,1 GB,SCAMPI (1 GB),Lab_FD_061014,extent @k,49.0777743828
390,0.25 GB,SCAMPI (0.25 GB),Lab_FD_061014,extent @k,49.2841238014
391,4 GB,SCAMPI (4 GB),MGHSleepElectromyography,extent @k,1117.3732023105
392,0.5 GB,SCAMPI (0.5 GB),HAR_Ambient_Sensor_Data,extent @k,1002.0321938404
393,16 GB,SCAMPI (16 GB),swtAttack7,extent @k,16.0370038532
394,2 GB,SCAMPI (2 GB),HAR_Ambient_Sensor_Data,extent @k,1002.0321938404
395,0.5 GB,SCAMPI (0.5 GB),Lab_K_060314,extent @k,130.5531494009
396,4 GB,SCAMPI (4 GB),Lab_FD_061014,lower_bound,2.7247103597
397,1 GB,SCAMPI (1 GB),MGHSleepElectromyography,lower_bound,1.1565318607
398,8 GB,SCAMPI (8 GB),Challenge2009TestSetA_101a,lower_bound,3.4591799902
399,2 GB,SCAMPI (2 GB),Challenge2009Respiration500HZ,lower_bound,0.6168885148000001
400,16 GB,SCAMPI (16 GB),stator_winding,lower_bound,0.8598953142
401,8 GB,SCAMPI (8 GB),MGHSleepElectromyography,lower_bound,1.9948234108
402,0.25 GB,SCAMPI (0.25 GB),BlackLeggedKittiwake,lower_bound,0.4464628237
403,0.5 GB,SCAMPI (0.5 GB),WindTurbine,lower_bound,0.3911314189
404,1 GB,SCAMPI (1 GB),Challenge2009TestSetA_101a,lower_bound,2.417539274
405,2 GB,SCAMPI (2 GB),solarwind,lower_bound,0.3853621927
406,4 GB,SCAMPI (4 GB),EOG_one_hour_400_Hz,lower_bound,1.1485792598
407,2 GB,SCAMPI (2 GB),swtAttack7,lower_bound,2.3122294303
408,0.5 GB,SCAMPI (0.5 GB),CinC_Challenge,lower_bound,0.0
409,0.5 GB,SCAMPI (0.5 GB),water,lower_bound,0.4316639919
410,1 GB,SCAMPI (1 GB),EOG_one_hour_50_Hz,lower_bound,4.4985216321
411,0.25 GB,SCAMPI (0.25 GB),swtAttack7,lower_bound,1.6579651542
412,8 GB,SCAMPI (8 GB),water,lower_bound,0.9466315613
413,1 GB,SCAMPI (1 GB),swtAttack38,lower_bound,0.8603758388
414,8 GB,SCAMPI (8 GB),stator_winding,lower_bound,0.7570018578000001
415,0.5 GB,SCAMPI (0.5 GB),stator_winding,lower_bound,0.44832148860000004
416,0.5 GB,SCAMPI (0.5 GB),solarwind,lower_bound,0.24935200700000001
417,16 GB,SCAMPI (16 GB),CinC_Challenge,lower_bound,0.0
418,2 GB,SCAMPI (2 GB),house,lower_bound,0.2693482117
419,4 GB,SCAMPI (4 GB),Bird12-Week3_2018_1_10,lower_bound,3.3020101025
420,2 GB,SCAMPI (2 GB),BlackLeggedKittiwake,lower_bound,0.9307614799
421,8 GB,SCAMPI (8 GB),EOG_one_hour_50_Hz,lower_bound,6.3321159416
422,8 GB,SCAMPI (8 GB),swtAttack38,lower_bound,1.2494153485
423,0.5 GB,SCAMPI (0.5 GB),Challenge2009Respiration500HZ,lower_bound,0.4385111129
424,0.5 GB,SCAMPI (0.5 GB),MGHSleepElectromyography,lower_bound,0.8615774264
425,1 GB,SCAMPI (1 GB),stator_winding,lower_bound,0.551214945
426,4 GB,SCAMPI (4 GB),CinC_Challenge,lower_bound,0.0
427,1 GB,SCAMPI (1 GB),water,lower_bound,0.5528328318
428,16 GB,SCAMPI (16 GB),Lab_K_060314,lower_bound,5.1877498885
429,4 GB,SCAMPI (4 GB),SpainishEnergyDataset,lower_bound,0.1295637178
430,0.25 GB,SCAMPI (0.25 GB),stator_winding,lower_bound,0.36012709740000004
431,1 GB,SCAMPI (1 GB),Challenge2009Respiration500HZ,lower_bound,0.5128350304
432,0.25 GB,SCAMPI (0.25 GB),solarwind,lower_bound,0.1435663071
433,4 GB,SCAMPI (4 GB),Lab_K_060314,lower_bound,4.0799897619
434,16 GB,SCAMPI (16 GB),water,lower_bound,1.0375081911
435,1 GB,SCAMPI (1 GB),swtAttack7,lower_bound,2.1040544333
436,0.25 GB,SCAMPI (0.25 GB),Challenge2009Respiration500HZ,lower_bound,0.3641871955
437,0.25 GB,SCAMPI (0.25 GB),MGHSleepElectromyography,lower_bound,0.5510990746000001
438,2 GB,SCAMPI (2 GB),Challenge2009TestSetA_101a,lower_bound,2.8839455648
439,1 GB,SCAMPI (1 GB),solarwind,lower_bound,0.30980097840000004
440,4 GB,SCAMPI (4 GB),HAR_Ambient_Sensor_Data,lower_bound,0.0231336897
441,0.5 GB,SCAMPI (0.5 GB),swtAttack7,lower_bound,1.8661401511
442,8 GB,SCAMPI (8 GB),Challenge2009Respiration500HZ,lower_bound,0.9290489681
443,2 GB,SCAMPI (2 GB),MGHSleepElectromyography,lower_bound,1.4980580478
444,4 GB,SCAMPI (4 GB),WindTurbine,lower_bound,0.8462661608000001
445,8 GB,SCAMPI (8 GB),swtAttack7,lower_bound,2.6244919257
446,8 GB,SCAMPI (8 GB),solarwind,lower_bound,0.5969335926
447,16 GB,SCAMPI (16 GB),Challenge2009TestSetA_101a,lower_bound,3.7701175174
448,16 GB,SCAMPI (16 GB),Lab_FD_061014,lower_bound,3.5475573629
449,16 GB,SCAMPI (16 GB),WindTurbine,lower_bound,0.7467054360000001
450,1 GB,SCAMPI (1 GB),house,lower_bound,0.2380405083
451,1 GB,SCAMPI (1 GB),BlackLeggedKittiwake,lower_bound,0.7188808178
452,2 GB,SCAMPI (2 GB),water,lower_bound,0.7042938816000001
453,2 GB,SCAMPI (2 GB),stator_winding,lower_bound,0.6100112058
454,0.25 GB,SCAMPI (0.25 GB),water,lower_bound,0.3407873621
455,0.25 GB,SCAMPI (0.25 GB),CinC_Challenge,lower_bound,0.0
456,0.25 GB,SCAMPI (0.25 GB),WindTurbine,lower_bound,0.2773477334
457,0.5 GB,SCAMPI (0.5 GB),BlackLeggedKittiwake,lower_bound,0.5675374878
458,2 GB,SCAMPI (2 GB),EOG_one_hour_50_Hz,lower_bound,4.9957675466
459,8 GB,SCAMPI (8 GB),house,lower_bound,0.2668939033
460,8 GB,SCAMPI (8 GB),BlackLeggedKittiwake,lower_bound,1.2485824731
461,2 GB,SCAMPI (2 GB),swtAttack38,lower_bound,0.9800803033000001
462,16 GB,SCAMPI (16 GB),MGHSleepElectromyography,lower_bound,2.2742539274
463,16 GB,SCAMPI (16 GB),solarwind,lower_bound,0.7329437783
464,0.25 GB,SCAMPI (0.25 GB),Lab_K_060314,lower_bound,1.1311635095
465,16 GB,SCAMPI (16 GB),swtAttack38,lower_bound,1.3092675807
466,0.5 GB,SCAMPI (0.5 GB),Lab_FD_061014,lower_bound,1.2342705048
467,0.25 GB,SCAMPI (0.25 GB),HAR_Ambient_Sensor_Data,lower_bound,0.0694010691
468,0.25 GB,SCAMPI (0.25 GB),SpainishEnergyDataset,lower_bound,0.1143209275
469,2 GB,SCAMPI (2 GB),CinC_Challenge,lower_bound,0.0
470,16 GB,SCAMPI (16 GB),SpainishEnergyDataset,lower_bound,0.1295637178
471,0.25 GB,SCAMPI (0.25 GB),EOG_one_hour_50_Hz,lower_bound,3.6594191515
472,16 GB,SCAMPI (16 GB),EOG_one_hour_50_Hz,lower_bound,7.0002901391
473,0.25 GB,SCAMPI (0.25 GB),Bird12-Week3_2018_1_10,lower_bound,0.9666305921
474,4 GB,SCAMPI (4 GB),house,lower_bound,0.2668939033
475,4 GB,SCAMPI (4 GB),BlackLeggedKittiwake,lower_bound,1.172910808
476,2 GB,SCAMPI (2 GB),Bird12-Week3_2018_1_10,lower_bound,2.6988326131
477,16 GB,SCAMPI (16 GB),HAR_Ambient_Sensor_Data,lower_bound,0.0231336897
478,0.5 GB,SCAMPI (0.5 GB),Challenge2009TestSetA_101a,lower_bound,2.028867365
479,16 GB,SCAMPI (16 GB),EOG_one_hour_400_Hz,lower_bound,1.4877570278
480,1 GB,SCAMPI (1 GB),WindTurbine,lower_bound,0.5475839864000001
481,16 GB,SCAMPI (16 GB),Challenge2009Respiration500HZ,lower_bound,1.1520207204
482,0.25 GB,SCAMPI (0.25 GB),EOG_one_hour_400_Hz,lower_bound,0.5164752376
483,8 GB,SCAMPI (8 GB),Lab_K_060314,lower_bound,4.6104664422
484,1 GB,SCAMPI (1 GB),HAR_Ambient_Sensor_Data,lower_bound,0.0231336897
485,8 GB,SCAMPI (8 GB),SpainishEnergyDataset,lower_bound,0.1295637178
486,0.25 GB,SCAMPI (0.25 GB),swtAttack38,lower_bound,0.680819142
487,2 GB,SCAMPI (2 GB),Lab_FD_061014,lower_bound,2.352100396
488,1 GB,SCAMPI (1 GB),Lab_K_060314,lower_bound,2.6133777634
489,8 GB,SCAMPI (8 GB),WindTurbine,lower_bound,0.6613676719
490,4 GB,SCAMPI (4 GB),swtAttack7,lower_bound,2.446056214
491,2 GB,SCAMPI (2 GB),EOG_one_hour_400_Hz,lower_bound,1.0406590609
492,0.5 GB,SCAMPI (0.5 GB),house,lower_bound,0.1947604159
493,4 GB,SCAMPI (4 GB),solarwind,lower_bound,0.4760356498
494,1 GB,SCAMPI (1 GB),SpainishEnergyDataset,lower_bound,0.1295637178
495,8 GB,SCAMPI (8 GB),HAR_Ambient_Sensor_Data,lower_bound,0.0231336897
496,4 GB,SCAMPI (4 GB),Challenge2009Respiration500HZ,lower_bound,0.7506715662
497,0.25 GB,SCAMPI (0.25 GB),house,lower_bound,0.1947604159
498,4 GB,SCAMPI (4 GB),stator_winding,lower_bound,0.6688074666
499,1 GB,SCAMPI (1 GB),CinC_Challenge,lower_bound,0.0
500,4 GB,SCAMPI (4 GB),water,lower_bound,0.8860471413000001
501,1 GB,SCAMPI (1 GB),Bird12-Week3_2018_1_10,lower_bound,2.1265873026
502,8 GB,SCAMPI (8 GB),CinC_Challenge,lower_bound,0.0
503,0.5 GB,SCAMPI (0.5 GB),EOG_one_hour_400_Hz,lower_bound,0.6860641216000001
504,4 GB,SCAMPI (4 GB),swtAttack38,lower_bound,1.144673942
505,0.25 GB,SCAMPI (0.25 GB),Challenge2009TestSetA_101a,lower_bound,1.6712892087
506,0.5 GB,SCAMPI (0.5 GB),swtAttack38,lower_bound,0.7556344323
507,8 GB,SCAMPI (8 GB),Bird12-Week3_2018_1_10,lower_bound,3.9206536814
508,4 GB,SCAMPI (4 GB),EOG_one_hour_50_Hz,lower_bound,5.6017860048
509,4 GB,SCAMPI (4 GB),Challenge2009TestSetA_101a,lower_bound,3.2570705975
510,1 GB,SCAMPI (1 GB),EOG_one_hour_400_Hz,lower_bound,0.9019045194
511,2 GB,SCAMPI (2 GB),Lab_K_060314,lower_bound,3.3778882732
512,0.5 GB,SCAMPI (0.5 GB),SpainishEnergyDataset,lower_bound,0.1295637178
513,8 GB,SCAMPI (8 GB),Lab_FD_061014,lower_bound,3.0973203234
514,0.5 GB,SCAMPI (0.5 GB),Bird12-Week3_2018_1_10,lower_bound,1.6007402605
515,0.5 GB,SCAMPI (0.5 GB),EOG_one_hour_50_Hz,lower_bound,4.1255871963
516,2 GB,SCAMPI (2 GB),SpainishEnergyDataset,lower_bound,0.1295637178
517,16 GB,SCAMPI (16 GB),house,lower_bound,0.2380405083
518,16 GB,SCAMPI (16 GB),BlackLeggedKittiwake,lower_bound,1.3545228041
519,8 GB,SCAMPI (8 GB),EOG_one_hour_400_Hz,lower_bound,1.3027509725
520,2 GB,SCAMPI (2 GB),WindTurbine,lower_bound,0.7182595146
521,1 GB,SCAMPI (1 GB),Lab_FD_061014,lower_bound,1.7931854504
522,0.25 GB,SCAMPI (0.25 GB),Lab_FD_061014,lower_bound,0.7685080502
523,4 GB,SCAMPI (4 GB),MGHSleepElectromyography,lower_bound,1.7619646469
524,0.5 GB,SCAMPI (0.5 GB),HAR_Ambient_Sensor_Data,lower_bound,0.1156684486
525,16 GB,SCAMPI (16 GB),swtAttack7,lower_bound,2.6988401389
526,2 GB,SCAMPI (2 GB),HAR_Ambient_Sensor_Data,lower_bound,0.0231336897
527,0.5 GB,SCAMPI (0.5 GB),Lab_K_060314,lower_bound,1.8644695088
