,memory,version,dataset,motif length,metric,value
320,16 GB,SCAMPI (16 GB),Challenge2009TestSetA_101a,512,setup in s,97.917326775
321,16 GB,SCAMPI (16 GB),Challenge2009TestSetA_101a,1024,setup in s,51.746707972
322,16 GB,SCAMPI (16 GB),Challenge2009TestSetA_101a,2048,setup in s,137.176584565
323,16 GB,SCAMPI (16 GB),Challenge2009TestSetA_101a,4096,setup in s,76.575089259
324,0.25 GB,SCAMPI (0.25 GB),SpainishEnergyDataset5sec,512,setup in s,118.43257052
325,0.25 GB,SCAMPI (0.25 GB),SpainishEnergyDataset5sec,1024,setup in s,126.993357328
326,0.25 GB,SCAMPI (0.25 GB),SpainishEnergyDataset5sec,2048,setup in s,125.853779049
327,0.25 GB,SCAMPI (0.25 GB),SpainishEnergyDataset5sec,4096,setup in s,135.009323782
328,4 GB,SCAMPI (4 GB),SynchrophasorEventsLarge,512,setup in s,273.760238789
329,4 GB,SCAMPI (4 GB),SynchrophasorEventsLarge,1024,setup in s,276.421081748
330,4 GB,SCAMPI (4 GB),SynchrophasorEventsLarge,2048,setup in s,285.495624145
331,4 GB,SCAMPI (4 GB),SynchrophasorEventsLarge,4096,setup in s,325.307868724
332,16 GB,SCAMPI (16 GB),Lab_FD_061014,512,setup in s,42.711105526
333,16 GB,SCAMPI (16 GB),Lab_FD_061014,1024,setup in s,45.646762974
334,16 GB,SCAMPI (16 GB),Lab_FD_061014,2048,setup in s,41.991771034
335,16 GB,SCAMPI (16 GB),Lab_FD_061014,4096,setup in s,44.529140077
336,16 GB,SCAMPI (16 GB),WindTurbine,512,setup in s,25.943544821
337,16 GB,SCAMPI (16 GB),WindTurbine,1024,setup in s,32.26856644
338,16 GB,SCAMPI (16 GB),WindTurbine,2048,setup in s,38.103873329
339,16 GB,SCAMPI (16 GB),WindTurbine,4096,setup in s,40.192322992
340,1 GB,SCAMPI (1 GB),house,512,setup in s,11.062875858
341,1 GB,SCAMPI (1 GB),house,1024,setup in s,30.191763041
342,1 GB,SCAMPI (1 GB),house,2048,setup in s,36.666996764
343,1 GB,SCAMPI (1 GB),house,4096,setup in s,9.888786835
344,1 GB,SCAMPI (1 GB),BlackLeggedKittiwake,512,setup in s,7.433676278
345,1 GB,SCAMPI (1 GB),BlackLeggedKittiwake,1024,setup in s,8.060816097
346,1 GB,SCAMPI (1 GB),BlackLeggedKittiwake,2048,setup in s,8.256733942
347,1 GB,SCAMPI (1 GB),BlackLeggedKittiwake,4096,setup in s,6.48569045
348,64 GB,SCAMPI (64 GB),WindTurbine,512,setup in s,26.68558034
349,64 GB,SCAMPI (64 GB),WindTurbine,1024,setup in s,32.934199467
350,64 GB,SCAMPI (64 GB),WindTurbine,2048,setup in s,35.858580567
351,64 GB,SCAMPI (64 GB),WindTurbine,4096,setup in s,40.306016645
352,0.5 GB,SCAMPI (0.5 GB),lorenzAttractorsLONG,512,setup in s,155.558989155
353,0.5 GB,SCAMPI (0.5 GB),lorenzAttractorsLONG,1024,setup in s,150.973318724
354,0.5 GB,SCAMPI (0.5 GB),lorenzAttractorsLONG,2048,setup in s,143.711354709
355,0.5 GB,SCAMPI (0.5 GB),lorenzAttractorsLONG,4096,setup in s,151.314268116
356,64 GB,SCAMPI (64 GB),Lab_FD_061014,512,setup in s,147.77128304
357,64 GB,SCAMPI (64 GB),Lab_FD_061014,1024,setup in s,139.114902351
358,64 GB,SCAMPI (64 GB),Lab_FD_061014,2048,setup in s,149.545955416
359,64 GB,SCAMPI (64 GB),Lab_FD_061014,4096,setup in s,145.573744012
360,2 GB,SCAMPI (2 GB),water,512,setup in s,17.107025404
361,2 GB,SCAMPI (2 GB),water,1024,setup in s,17.939288636
362,2 GB,SCAMPI (2 GB),water,2048,setup in s,11.232429508
363,2 GB,SCAMPI (2 GB),water,4096,setup in s,9.594288628
364,64 GB,SCAMPI (64 GB),SynchrophasorEventsLarge,512,setup in s,274.049176524
365,64 GB,SCAMPI (64 GB),SynchrophasorEventsLarge,1024,setup in s,283.374876011
366,64 GB,SCAMPI (64 GB),SynchrophasorEventsLarge,2048,setup in s,276.035700929
367,64 GB,SCAMPI (64 GB),SynchrophasorEventsLarge,4096,setup in s,330.551150876
368,2 GB,SCAMPI (2 GB),stator_winding,512,setup in s,14.029930701
369,2 GB,SCAMPI (2 GB),stator_winding,1024,setup in s,13.410678524
370,2 GB,SCAMPI (2 GB),stator_winding,2048,setup in s,13.585971025
371,2 GB,SCAMPI (2 GB),stator_winding,4096,setup in s,13.346989393
372,0.25 GB,SCAMPI (0.25 GB),water,512,setup in s,17.878279675
373,0.25 GB,SCAMPI (0.25 GB),water,1024,setup in s,18.092358923
374,0.25 GB,SCAMPI (0.25 GB),water,2048,setup in s,5.231903129
375,0.25 GB,SCAMPI (0.25 GB),water,4096,setup in s,3.321489331
376,0.25 GB,SCAMPI (0.25 GB),CinC_Challenge,512,setup in s,34.366073768
377,0.25 GB,SCAMPI (0.25 GB),CinC_Challenge,1024,setup in s,42.647672153
378,0.25 GB,SCAMPI (0.25 GB),CinC_Challenge,2048,setup in s,40.885922118
379,0.25 GB,SCAMPI (0.25 GB),CinC_Challenge,4096,setup in s,41.045789745
380,32 GB,SCAMPI (32 GB),stator_winding,512,setup in s,60.826670652
381,32 GB,SCAMPI (32 GB),stator_winding,1024,setup in s,52.20450579
382,32 GB,SCAMPI (32 GB),stator_winding,2048,setup in s,56.461475323
383,32 GB,SCAMPI (32 GB),stator_winding,4096,setup in s,64.205284998
384,0.25 GB,SCAMPI (0.25 GB),WindTurbine,512,setup in s,25.899037644
385,0.25 GB,SCAMPI (0.25 GB),WindTurbine,1024,setup in s,32.746902938
386,0.25 GB,SCAMPI (0.25 GB),WindTurbine,2048,setup in s,36.333603468
