,memory,version,dataset,motif length,metric,value
113,32 GB,SCAMPI (32 GB),Challenge2009TestSetA_101a,1024,setup in s,50.851092009
114,32 GB,SCAMPI (32 GB),Challenge2009TestSetA_101a,2048,setup in s,136.82539299
115,32 GB,SCAMPI (32 GB),Challenge2009TestSetA_101a,4096,setup in s,77.296418744
116,16 GB,SCAMPI (16 GB),Bird12-Week3_2018_1_10,512,setup in s,48.783889089
117,16 GB,SCAMPI (16 GB),Bird12-Week3_2018_1_10,1024,setup in s,44.391715744
118,16 GB,SCAMPI (16 GB),Bird12-Week3_2018_1_10,2048,setup in s,43.030898356
119,16 GB,SCAMPI (16 GB),Bird12-Week3_2018_1_10,4096,setup in s,46.287703362
120,0.5 GB,SCAMPI (0.5 GB),SpainishEnergyDataset5sec,512,setup in s,123.276878459
121,0.5 GB,SCAMPI (0.5 GB),SpainishEnergyDataset5sec,1024,setup in s,129.53129803
122,0.5 GB,SCAMPI (0.5 GB),SpainishEnergyDataset5sec,2048,setup in s,127.860083388
123,0.5 GB,SCAMPI (0.5 GB),SpainishEnergyDataset5sec,4096,setup in s,132.66983686
124,8 GB,SCAMPI (8 GB),water,512,setup in s,17.500017824
125,8 GB,SCAMPI (8 GB),water,1024,setup in s,17.685150524
126,8 GB,SCAMPI (8 GB),water,2048,setup in s,33.124200499
127,8 GB,SCAMPI (8 GB),water,4096,setup in s,29.885085431
128,1 GB,SCAMPI (1 GB),swtAttack38,512,setup in s,2.005115233
129,1 GB,SCAMPI (1 GB),swtAttack38,1024,setup in s,10.247922861
130,1 GB,SCAMPI (1 GB),swtAttack38,2048,setup in s,9.902055426
131,1 GB,SCAMPI (1 GB),swtAttack38,4096,setup in s,9.218563998
132,8 GB,SCAMPI (8 GB),SpainishEnergyDataset5sec,512,setup in s,116.903378725
133,8 GB,SCAMPI (8 GB),SpainishEnergyDataset5sec,1024,setup in s,128.104223983
134,8 GB,SCAMPI (8 GB),SpainishEnergyDataset5sec,2048,setup in s,126.064796541
135,8 GB,SCAMPI (8 GB),SpainishEnergyDataset5sec,4096,setup in s,129.926930035
136,8 GB,SCAMPI (8 GB),stator_winding,512,setup in s,43.213778454
137,8 GB,SCAMPI (8 GB),stator_winding,1024,setup in s,39.348884536
138,8 GB,SCAMPI (8 GB),stator_winding,2048,setup in s,39.970224604
139,8 GB,SCAMPI (8 GB),stator_winding,4096,setup in s,39.698984109
140,0.5 GB,SCAMPI (0.5 GB),stator_winding,512,setup in s,7.018029897
141,0.5 GB,SCAMPI (0.5 GB),stator_winding,1024,setup in s,6.673933886
142,0.5 GB,SCAMPI (0.5 GB),stator_winding,2048,setup in s,6.691301882
143,0.5 GB,SCAMPI (0.5 GB),stator_winding,4096,setup in s,6.553929574
144,64 GB,SCAMPI (64 GB),CinC_Challenge,512,setup in s,33.465660329
145,64 GB,SCAMPI (64 GB),CinC_Challenge,1024,setup in s,41.163773064
146,64 GB,SCAMPI (64 GB),CinC_Challenge,2048,setup in s,39.309689155
147,64 GB,SCAMPI (64 GB),CinC_Challenge,4096,setup in s,40.492783156
148,32 GB,SCAMPI (32 GB),water,512,setup in s,25.503776115
149,32 GB,SCAMPI (32 GB),water,1024,setup in s,27.507009099
150,32 GB,SCAMPI (32 GB),water,2048,setup in s,114.479616004
151,32 GB,SCAMPI (32 GB),water,4096,setup in s,113.092598449
152,0.5 GB,SCAMPI (0.5 GB),solarwind,512,setup in s,11.401448926
153,0.5 GB,SCAMPI (0.5 GB),solarwind,1024,setup in s,14.413903805
154,0.5 GB,SCAMPI (0.5 GB),solarwind,2048,setup in s,13.051872584
155,0.5 GB,SCAMPI (0.5 GB),solarwind,4096,setup in s,8.611390204
156,16 GB,SCAMPI (16 GB),CinC_Challenge,512,setup in s,34.324330121
157,16 GB,SCAMPI (16 GB),CinC_Challenge,1024,setup in s,42.954537754
158,16 GB,SCAMPI (16 GB),CinC_Challenge,2048,setup in s,41.557506581
159,16 GB,SCAMPI (16 GB),CinC_Challenge,4096,setup in s,41.374235586
160,2 GB,SCAMPI (2 GB),house,512,setup in s,11.898519326
161,2 GB,SCAMPI (2 GB),house,1024,setup in s,30.067200141
162,2 GB,SCAMPI (2 GB),house,2048,setup in s,40.309266027
163,2 GB,SCAMPI (2 GB),house,4096,setup in s,12.651458894
164,4 GB,SCAMPI (4 GB),Bird12-Week3_2018_1_10,512,setup in s,47.469031099
165,4 GB,SCAMPI (4 GB),Bird12-Week3_2018_1_10,1024,setup in s,17.570482491
166,4 GB,SCAMPI (4 GB),Bird12-Week3_2018_1_10,2048,setup in s,16.842705005
167,4 GB,SCAMPI (4 GB),Bird12-Week3_2018_1_10,4096,setup in s,19.980932716
168,2 GB,SCAMPI (2 GB),BlackLeggedKittiwake,512,setup in s,12.349862119
169,2 GB,SCAMPI (2 GB),BlackLeggedKittiwake,1024,setup in s,13.073143646
170,2 GB,SCAMPI (2 GB),BlackLeggedKittiwake,2048,setup in s,13.074953815
171,2 GB,SCAMPI (2 GB),BlackLeggedKittiwake,4096,setup in s,11.051898669
172,8 GB,SCAMPI (8 GB),EOG_one_hour_50_Hz,512,setup in s,14.711937257
173,8 GB,SCAMPI (8 GB),EOG_one_hour_50_Hz,1024,setup in s,10.175192504
174,8 GB,SCAMPI (8 GB),EOG_one_hour_50_Hz,2048,setup in s,16.518556735
175,8 GB,SCAMPI (8 GB),EOG_one_hour_50_Hz,4096,setup in s,19.435689351
176,8 GB,SCAMPI (8 GB),swtAttack38,512,setup in s,1.936761121
177,8 GB,SCAMPI (8 GB),swtAttack38,1024,setup in s,36.343957512
178,8 GB,SCAMPI (8 GB),swtAttack38,2048,setup in s,53.413772879
179,8 GB,SCAMPI (8 GB),swtAttack38,4096,setup in s,16.93772702
180,0.5 GB,SCAMPI (0.5 GB),Challenge2009Respiration500HZ,512,setup in s,16.703245646
181,0.5 GB,SCAMPI (0.5 GB),Challenge2009Respiration500HZ,1024,setup in s,17.18789004
182,0.5 GB,SCAMPI (0.5 GB),Challenge2009Respiration500HZ,2048,setup in s,4.587173789
183,0.5 GB,SCAMPI (0.5 GB),Challenge2009Respiration500HZ,4096,setup in s,4.381534182
184,1 GB,SCAMPI (1 GB),SpainishEnergyDataset5sec,512,setup in s,124.652132734
185,1 GB,SCAMPI (1 GB),SpainishEnergyDataset5sec,1024,setup in s,136.024976909
186,1 GB,SCAMPI (1 GB),SpainishEnergyDataset5sec,2048,setup in s,127.089490248
187,1 GB,SCAMPI (1 GB),SpainishEnergyDataset5sec,4096,setup in s,131.621469645
188,0.5 GB,SCAMPI (0.5 GB),MGHSleepElectromyography,512,setup in s,8.508023253
189,0.5 GB,SCAMPI (0.5 GB),MGHSleepElectromyography,1024,setup in s,7.037595646
190,0.5 GB,SCAMPI (0.5 GB),MGHSleepElectromyography,2048,setup in s,9.004918175
191,0.5 GB,SCAMPI (0.5 GB),MGHSleepElectromyography,4096,setup in s,8.644150119
192,32 GB,SCAMPI (32 GB),Lab_K_060314,512,setup in s,71.311919968
193,32 GB,SCAMPI (32 GB),Lab_K_060314,1024,setup in s,74.746410032
194,32 GB,SCAMPI (32 GB),Lab_K_060314,2048,setup in s,75.821292112
195,32 GB,SCAMPI (32 GB),Lab_K_060314,4096,setup in s,78.731007652
196,1 GB,SCAMPI (1 GB),stator_winding,512,setup in s,9.309694065
197,1 GB,SCAMPI (1 GB),stator_winding,1024,setup in s,9.499067013
198,1 GB,SCAMPI (1 GB),stator_winding,2048,setup in s,9.026046952
199,1 GB,SCAMPI (1 GB),stator_winding,4096,setup in s,8.836604718
200,4 GB,SCAMPI (4 GB),CinC_Challenge,512,setup in s,36.275110258
201,4 GB,SCAMPI (4 GB),CinC_Challenge,1024,setup in s,44.956782701
202,4 GB,SCAMPI (4 GB),CinC_Challenge,2048,setup in s,42.838121406
203,4 GB,SCAMPI (4 GB),CinC_Challenge,4096,setup in s,42.685211414
204,1 GB,SCAMPI (1 GB),water,512,setup in s,17.242391356
205,1 GB,SCAMPI (1 GB),water,1024,setup in s,17.968048757000002
206,1 GB,SCAMPI (1 GB),water,2048,setup in s,7.765343834
207,1 GB,SCAMPI (1 GB),water,4096,setup in s,5.8712556860000005
208,16 GB,SCAMPI (16 GB),Lab_K_060314,512,setup in s,39.204316814
209,16 GB,SCAMPI (16 GB),Lab_K_060314,1024,setup in s,39.533263686
210,16 GB,SCAMPI (16 GB),Lab_K_060314,2048,setup in s,42.35449943
211,16 GB,SCAMPI (16 GB),Lab_K_060314,4096,setup in s,40.330945813
212,4 GB,SCAMPI (4 GB),SpainishEnergyDataset,512,setup in s,17.71525293
213,4 GB,SCAMPI (4 GB),SpainishEnergyDataset,1024,setup in s,17.887142447
214,4 GB,SCAMPI (4 GB),SpainishEnergyDataset,2048,setup in s,19.368001587
215,4 GB,SCAMPI (4 GB),SpainishEnergyDataset,4096,setup in s,7.883050746
216,0.25 GB,SCAMPI (0.25 GB),stator_winding,512,setup in s,5.61696647
217,0.25 GB,SCAMPI (0.25 GB),stator_winding,1024,setup in s,5.418021728
218,0.25 GB,SCAMPI (0.25 GB),stator_winding,2048,setup in s,5.666145545
219,0.25 GB,SCAMPI (0.25 GB),stator_winding,4096,setup in s,5.393152285
220,1 GB,SCAMPI (1 GB),Challenge2009Respiration500HZ,512,setup in s,17.266399352
221,1 GB,SCAMPI (1 GB),Challenge2009Respiration500HZ,1024,setup in s,18.032005058
222,1 GB,SCAMPI (1 GB),Challenge2009Respiration500HZ,2048,setup in s,6.137116667
223,1 GB,SCAMPI (1 GB),Challenge2009Respiration500HZ,4096,setup in s,6.182762586
224,0.25 GB,SCAMPI (0.25 GB),solarwind,512,setup in s,10.811430339
225,0.25 GB,SCAMPI (0.25 GB),solarwind,1024,setup in s,13.430737734
226,0.25 GB,SCAMPI (0.25 GB),solarwind,2048,setup in s,12.334230545
227,0.25 GB,SCAMPI (0.25 GB),solarwind,4096,setup in s,8.479763418
228,4 GB,SCAMPI (4 GB),recorddata,512,setup in s,315.501526247
229,4 GB,SCAMPI (4 GB),recorddata,1024,setup in s,315.049849979
230,4 GB,SCAMPI (4 GB),recorddata,2048,setup in s,317.905690139
231,4 GB,SCAMPI (4 GB),recorddata,4096,setup in s,293.485617449
232,64 GB,SCAMPI (64 GB),Lab_K_060314,512,setup in s,140.51544938
233,64 GB,SCAMPI (64 GB),Lab_K_060314,1024,setup in s,134.698191857
234,64 GB,SCAMPI (64 GB),Lab_K_060314,2048,setup in s,138.629718918
235,64 GB,SCAMPI (64 GB),Lab_K_060314,4096,setup in s,139.605284778
236,4 GB,SCAMPI (4 GB),Lab_K_060314,512,setup in s,13.946761647
237,4 GB,SCAMPI (4 GB),Lab_K_060314,1024,setup in s,14.239208709
238,4 GB,SCAMPI (4 GB),Lab_K_060314,2048,setup in s,14.698657872
239,4 GB,SCAMPI (4 GB),Lab_K_060314,4096,setup in s,14.67078887
240,16 GB,SCAMPI (16 GB),water,512,setup in s,17.51309702
241,16 GB,SCAMPI (16 GB),water,1024,setup in s,18.585281397
242,16 GB,SCAMPI (16 GB),water,2048,setup in s,65.519844326
243,16 GB,SCAMPI (16 GB),water,4096,setup in s,54.126635192
244,1 GB,SCAMPI (1 GB),swtAttack7,512,setup in s,9.052672037
245,1 GB,SCAMPI (1 GB),swtAttack7,1024,setup in s,9.356087928
246,1 GB,SCAMPI (1 GB),swtAttack7,2048,setup in s,9.681502095
247,1 GB,SCAMPI (1 GB),swtAttack7,4096,setup in s,8.957799544
248,0.25 GB,SCAMPI (0.25 GB),Challenge2009Respiration500HZ,512,setup in s,18.944278527
249,0.25 GB,SCAMPI (0.25 GB),Challenge2009Respiration500HZ,1024,setup in s,16.766987571
250,0.25 GB,SCAMPI (0.25 GB),Challenge2009Respiration500HZ,2048,setup in s,3.802414701
251,0.25 GB,SCAMPI (0.25 GB),Challenge2009Respiration500HZ,4096,setup in s,3.397692058
252,0.25 GB,SCAMPI (0.25 GB),MGHSleepElectromyography,512,setup in s,7.674158885
253,0.25 GB,SCAMPI (0.25 GB),MGHSleepElectromyography,1024,setup in s,6.053292856
254,0.25 GB,SCAMPI (0.25 GB),MGHSleepElectromyography,2048,setup in s,8.44836865
255,0.25 GB,SCAMPI (0.25 GB),MGHSleepElectromyography,4096,setup in s,8.332657379
256,64 GB,SCAMPI (64 GB),water,512,setup in s,17.92093463
257,64 GB,SCAMPI (64 GB),water,1024,setup in s,18.264429993
258,64 GB,SCAMPI (64 GB),water,2048,setup in s,113.954735071
259,64 GB,SCAMPI (64 GB),water,4096,setup in s,219.187486909
260,2 GB,SCAMPI (2 GB),Challenge2009TestSetA_101a,512,setup in s,17.840013865
261,2 GB,SCAMPI (2 GB),Challenge2009TestSetA_101a,1024,setup in s,17.417656828
262,2 GB,SCAMPI (2 GB),Challenge2009TestSetA_101a,2048,setup in s,18.433670557
263,2 GB,SCAMPI (2 GB),Challenge2009TestSetA_101a,4096,setup in s,17.30520627
264,1 GB,SCAMPI (1 GB),solarwind,512,setup in s,12.307056387
265,1 GB,SCAMPI (1 GB),solarwind,1024,setup in s,14.769235706
266,1 GB,SCAMPI (1 GB),solarwind,2048,setup in s,14.33401692
267,1 GB,SCAMPI (1 GB),solarwind,4096,setup in s,10.401392534
268,32 GB,SCAMPI (32 GB),CinC_Challenge,512,setup in s,40.782114737
269,32 GB,SCAMPI (32 GB),CinC_Challenge,1024,setup in s,43.954659028
270,32 GB,SCAMPI (32 GB),CinC_Challenge,2048,setup in s,51.152065789
271,32 GB,SCAMPI (32 GB),CinC_Challenge,4096,setup in s,61.993664262
272,2 GB,SCAMPI (2 GB),lorenzAttractorsLONG,512,setup in s,153.192696102
273,2 GB,SCAMPI (2 GB),lorenzAttractorsLONG,1024,setup in s,146.395493307
274,2 GB,SCAMPI (2 GB),lorenzAttractorsLONG,2048,setup in s,134.237105143
275,2 GB,SCAMPI (2 GB),lorenzAttractorsLONG,4096,setup in s,145.562738007
276,4 GB,SCAMPI (4 GB),HAR_Ambient_Sensor_Data,512,setup in s,16.990231536
277,4 GB,SCAMPI (4 GB),HAR_Ambient_Sensor_Data,1024,setup in s,17.634044035
278,4 GB,SCAMPI (4 GB),HAR_Ambient_Sensor_Data,2048,setup in s,17.502072604
279,4 GB,SCAMPI (4 GB),HAR_Ambient_Sensor_Data,4096,setup in s,16.28137826
280,0.5 GB,SCAMPI (0.5 GB),swtAttack7,512,setup in s,9.0258517
281,0.5 GB,SCAMPI (0.5 GB),swtAttack7,1024,setup in s,5.318085909
282,0.5 GB,SCAMPI (0.5 GB),swtAttack7,2048,setup in s,5.722304349
283,0.5 GB,SCAMPI (0.5 GB),swtAttack7,4096,setup in s,4.850257679
284,8 GB,SCAMPI (8 GB),Challenge2009Respiration500HZ,512,setup in s,17.599211254
285,8 GB,SCAMPI (8 GB),Challenge2009Respiration500HZ,1024,setup in s,17.764176867
286,8 GB,SCAMPI (8 GB),Challenge2009Respiration500HZ,2048,setup in s,31.13355767
287,8 GB,SCAMPI (8 GB),Challenge2009Respiration500HZ,4096,setup in s,30.91127525
288,0.25 GB,SCAMPI (0.25 GB),recorddata,512,setup in s,275.068805256
289,0.25 GB,SCAMPI (0.25 GB),recorddata,1024,setup in s,275.716690765
290,0.25 GB,SCAMPI (0.25 GB),recorddata,2048,setup in s,279.768629387
291,0.25 GB,SCAMPI (0.25 GB),recorddata,4096,setup in s,302.16851243
292,2 GB,SCAMPI (2 GB),MGHSleepElectromyography,512,setup in s,12.15979299
293,2 GB,SCAMPI (2 GB),MGHSleepElectromyography,1024,setup in s,10.85709092
294,2 GB,SCAMPI (2 GB),MGHSleepElectromyography,2048,setup in s,12.230209754
295,2 GB,SCAMPI (2 GB),MGHSleepElectromyography,4096,setup in s,11.972426115
296,4 GB,SCAMPI (4 GB),WindTurbine,512,setup in s,25.643399578
297,4 GB,SCAMPI (4 GB),WindTurbine,1024,setup in s,31.765030235
298,4 GB,SCAMPI (4 GB),WindTurbine,2048,setup in s,35.730863014
299,4 GB,SCAMPI (4 GB),WindTurbine,4096,setup in s,40.25949717
300,8 GB,SCAMPI (8 GB),swtAttack7,512,setup in s,9.11697208
301,8 GB,SCAMPI (8 GB),swtAttack7,1024,setup in s,66.566090405
302,8 GB,SCAMPI (8 GB),swtAttack7,2048,setup in s,31.936812325000002
303,8 GB,SCAMPI (8 GB),swtAttack7,4096,setup in s,27.473324004
304,64 GB,SCAMPI (64 GB),Challenge2009TestSetA_101a,512,setup in s,101.903134889
305,64 GB,SCAMPI (64 GB),Challenge2009TestSetA_101a,1024,setup in s,50.631047434
306,64 GB,SCAMPI (64 GB),Challenge2009TestSetA_101a,2048,setup in s,137.238293525
307,64 GB,SCAMPI (64 GB),Challenge2009TestSetA_101a,4096,setup in s,76.83812018
308,8 GB,SCAMPI (8 GB),solarwind,512,setup in s,27.529930673
309,8 GB,SCAMPI (8 GB),solarwind,1024,setup in s,30.768956206
310,8 GB,SCAMPI (8 GB),solarwind,2048,setup in s,29.473343599
311,8 GB,SCAMPI (8 GB),solarwind,4096,setup in s,23.74475165
312,32 GB,SCAMPI (32 GB),FingerFlexionECoG,512,setup in s,165.099600906
313,32 GB,SCAMPI (32 GB),FingerFlexionECoG,1024,setup in s,171.898167517
314,32 GB,SCAMPI (32 GB),FingerFlexionECoG,2048,setup in s,178.726439523
315,32 GB,SCAMPI (32 GB),FingerFlexionECoG,4096,setup in s,196.230154316
316,32 GB,SCAMPI (32 GB),Bird12-Week3_2018_1_10,512,setup in s,56.902176823
317,32 GB,SCAMPI (32 GB),Bird12-Week3_2018_1_10,1024,setup in s,86.293837319
318,32 GB,SCAMPI (32 GB),Bird12-Week3_2018_1_10,2048,setup in s,79.572357151
319,32 GB,SCAMPI (32 GB),Bird12-Week3_2018_1_10,4096,setup in s,82.28430873
